Valid date,Valid time,Time zone,Record sequence,Data type,Primary,Reporting area,State code,Parameter name,AQI value,AQI category,Forecast,Source
06/11/23,,PDT,3,F,Y,Colville,WA,PM2.5,,Good,Washington Department of Ecology,
06/12/23,,PDT,4,F,Y,Colville,WA,PM2.5,,Good,Washington Department of Ecology,
06/07/23,,PDT,-1,Y,Y,Concord,CA,OZONE,29,Good,San Francisco Bay Area AQMD,
06/08/23,14:00,PDT,0,O,Y,Concord,CA,OZONE,31,Good,San Francisco Bay Area AQMD,
06/08/23,,PDT,0,F,Y,Concord,CA,OZONE,39,Good,San Francisco Bay Area AQMD,
06/09/23,,PDT,1,F,Y,Concord,CA,OZONE,39,Good,San Francisco Bay Area AQMD,
06/10/23,,PDT,2,F,Y,Concord,CA,OZONE,,Good,San Francisco Bay Area AQMD,
06/11/23,,PDT,3,F,Y,Concord,CA,OZONE,,Good,San Francisco Bay Area AQMD,
06/12/23,,PDT,4,F,Y,Concord,CA,OZONE,,Good,San Francisco Bay Area AQMD,
06/13/23,,PDT,5,F,Y,Concord,CA,OZONE,,Good,San Francisco Bay Area AQMD,
06/07/23,,EDT,-1,Y,Y,Concord,NH,OZONE,26,Good,New Hampshire Dept. of Environmental Services,
06/08/23,17:00,EDT,0,O,Y,Concord,NH,OZONE,20,Good,New Hampshire Dept. of Environmental Services,
06/08/23,,EDT,0,F,Y,Concord,NH,PM2.5,,Good,New Hampshire Dept. of Environmental Services,
06/09/23,,EDT,1,F,Y,Concord,NH,PM2.5,,Good,New Hampshire Dept. of Environmental Services,
06/07/23,,EDT,-1,Y,Y,Conway,NH,PM2.5,27,Good,New Hampshire Dept. of Environmental Services,
06/08/23,17:00,EDT,0,O,Y,Conway,NH,OZONE,18,Good,New Hampshire Dept. of Environmental Services,
06/08/23,,EDT,0,F,Y,Conway,NH,PM2.5,,Good,New Hampshire Dept. of Environmental Services,
06/09/23,,EDT,1,F,Y,Conway,NH,PM2.5,,Good,New Hampshire Dept. of Environmental Services,
06/07/23,,CDT,-1,Y,Y,Cookeville,TN,PM2.5,76,Moderate,Tennessee Air Pollution Control Div.,
06/08/23,16:00,CDT,0,O,Y,Cookeville,TN,PM2.5,70,Moderate,Tennessee Air Pollution Control Div.,
06/07/23,,PDT,-1,Y,Y,Cool,CA,OZONE,44,Good,Sacramento Metro. AQMD,
06/08/23,14:00,PDT,0,O,Y,Cool,CA,OZONE,41,Good,Sacramento Metro. AQMD,
06/08/23,,PDT,0,F,Y,Cool,CA,OZONE,51,Moderate,Sacramento Metro. AQMD,
06/09/23,,PDT,1,F,Y,Cool,CA,OZONE,50,Good,Sacramento Metro. AQMD,
06/10/23,,PDT,2,F,Y,Cool,CA,OZONE,45,Good,Sacramento Metro. AQMD,
06/11/23,,PDT,3,F,Y,Cool,CA,OZONE,44,Good,Sacramento Metro. AQMD,
06/12/23,,PDT,4,F,Y,Cool,CA,OZONE,44,Good,Sacramento Metro. AQMD,
06/13/23,,PDT,5,F,Y,Cool,CA,OZONE,48,Good,Sacramento Metro. AQMD,
06/07/23,,PDT,-1,Y,Y,"Coos, Lower Umpqua, and Siuslaw Indians of Oregon",OR,PM2.5,7,Good,EPA Region 10,
06/08/23,14:00,PDT,0,O,Y,"Coos, Lower Umpqua, and Siuslaw Indians of Oregon",OR,PM2.5,7,Good,EPA Region 10,
06/07/23,,CDT,-1,Y,Y,Corpus Christi,TX,OZONE,71,Moderate,Texas Commission on Environmental Quality,
06/08/23,16:00,CDT,0,O,Y,Corpus Christi,TX,OZONE,67,Moderate,Texas Commission on Environmental Quality,
06/08/23,,CDT,0,F,Y,Corpus Christi,TX,OZONE,,Moderate,Texas Commission on Environmental Quality,
06/09/23,,CDT,1,F,Y,Corpus Christi,TX,OZONE,,Good,Texas Commission on Environmental Quality,
06/10/23,,CDT,2,F,Y,Corpus Christi,TX,OZONE,,Good,Texas Commission on Environmental Quality,
06/11/23,,CDT,3,F,Y,Corpus Christi,TX,PM2.5,,Moderate,Texas Commission on Environmental Quality,
06/07/23,,PDT,-1,Y,Y,Corvallis,OR,PM2.5,19,Good,Oregon Dept. of Environmental Quality,
06/08/23,14:00,PDT,0,O,Y,Corvallis,OR,PM2.5,14,Good,Oregon Dept. of Environmental Quality,
06/07/23,,PDT,-1,Y,Y,Coso Junction,CA,PM10,9,Good,Great Basin Unified Air Pollution Control District,
06/08/23,14:00,PDT,0,O,Y,Coso Junction,CA,PM10,6,Good,Great Basin Unified Air Pollution Control District,
06/07/23,,PDT,-1,Y,Y,Cottage Grove,OR,OZONE,31,Good,Lane Regional Air Protection Agency,
06/08/23,14:00,PDT,0,O,Y,Cottage Grove,OR,OZONE,28,Good,Lane Regional Air Protection Agency,
06/08/23,,PDT,0,F,Y,Cottage Grove,OR,PM2.5,,Good,Lane Regional Air Protection Agency,
06/09/23,,PDT,1,F,Y,Cottage Grove,OR,PM2.5,,Good,Lane Regional Air Protection Agency,
06/07/23,,PDT,-1,Y,Y,Cottonwood (seasonal),ID,PM2.5,22,Good,Idaho Department of Environmental Quality,
06/08/23,14:00,PDT,0,O,Y,Cottonwood (seasonal),ID,PM2.5,20,Good,Idaho Department of Environmental Quality,
06/07/23,,MDT,-1,Y,Y,Coyote,NM,OZONE,40,Good,New Mexico Air Quality Bureau,
06/08/23,15:00,MDT,0,O,Y,Coyote,NM,OZONE,58,Moderate,New Mexico Air Quality Bureau,
06/07/23,,PDT,-1,Y,Y,Crater Lake,OR,PM2.5,15,Good,Oregon Dept. of Environmental Quality,
06/07/23,,MDT,-1,Y,Y,Craters of the Moon National Monument,ID,OZONE,48,Good,National Park Service,
06/08/23,15:00,MDT,0,O,Y,Craters of the Moon National Monument,ID,OZONE,42,Good,National Park Service,
06/08/23,,EDT,0,F,Y,Craven County,NC,PM2.5,130,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Craven County,NC,PM2.5,90,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Craven County,NC,PM2.5,100,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Craven County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/07/23,,PDT,-1,Y,Y,Crescent City,CA,PM2.5,15,Good,North Coast Unified Air Quality Management District,
06/08/23,14:00,PDT,0,O,Y,Crescent City,CA,PM2.5,13,Good,North Coast Unified Air Quality Management District,
06/07/23,,EDT,-1,Y,Y,Cumberland County,NC,PM2.5,91,Moderate,North Carolina DEQ - Division of Air Quality,
06/08/23,17:00,EDT,0,O,Y,Cumberland County,NC,OZONE,80,Moderate,North Carolina DEQ - Division of Air Quality,
06/08/23,,EDT,0,F,Y,Cumberland County,NC,PM2.5,115,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Cumberland County,NC,PM2.5,90,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Cumberland County,NC,PM2.5,100,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Cumberland County,NC,PM2.5,50,Good,North Carolina DEQ - Division of Air Quality,
06/07/23,,AST,-1,Y,Y,Curacao,,OZONE,16,Good,U.S. Department of State Curacao,
06/08/23,17:00,AST,0,O,Y,Curacao,,OZONE,14,Good,U.S. Department of State Curacao,
06/08/23,,EDT,0,F,Y,Currituck County,NC,PM2.5,150,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Currituck County,NC,PM2.5,90,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Currituck County,NC,PM2.5,100,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Currituck County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/07/23,,PDT,-1,Y,Y,Custer,WA,OZONE,77,Moderate,Northwest Clean Air Agency,
06/08/23,14:00,PDT,0,O,Y,Custer,WA,OZONE,33,Good,Northwest Clean Air Agency,
06/08/23,,PDT,0,F,Y,Custer,WA,OZONE,,Good,Northwest Clean Air Agency,
06/09/23,,PDT,1,F,Y,Custer,WA,OZONE,,Good,Northwest Clean Air Agency,
06/10/23,,PDT,2,F,Y,Custer,WA,OZONE,,Good,Northwest Clean Air Agency,
06/11/23,,PDT,3,F,Y,Custer,WA,OZONE,,Good,Northwest Clean Air Agency,
06/12/23,,PDT,4,F,Y,Custer,WA,OZONE,,Good,Northwest Clean Air Agency,
06/07/23,,GMT,-1,Y,Y,Dakar,,PM2.5,47,Good,U.S. Department of State Senegal - Dakar,
06/08/23,21:00,GMT,0,O,Y,Dakar,,PM2.5,54,Moderate,U.S. Department of State Senegal - Dakar,
06/07/23,,PDT,-1,Y,Y,Dallas,OR,PM2.5,14,Good,Oregon Dept. of Environmental Quality,
06/08/23,14:00,PDT,0,O,Y,Dallas,OR,PM2.5,10,Good,Oregon Dept. of Environmental Quality,
06/07/23,,CDT,-1,Y,Y,Dallas-Fort Worth,TX,OZONE,172,Unhealthy,Texas Commission on Environmental Quality,
06/08/23,16:00,CDT,0,O,Y,Dallas-Fort Worth,TX,OZONE,119,Unhealthy for Sensitive Groups,Texas Commission on Environmental Quality,
06/08/23,,CDT,0,F,Y,Dallas-Fort Worth,TX,OZONE,,Unhealthy for Sensitive Groups,Texas Commission on Environmental Quality,
06/09/23,,CDT,1,F,Y,Dallas-Fort Worth,TX,OZONE,,Unhealthy for Sensitive Groups,Texas Commission on Environmental Quality,
06/10/23,,CDT,2,F,Y,Dallas-Fort Worth,TX,OZONE,,Unhealthy for Sensitive Groups,Texas Commission on Environmental Quality,
06/11/23,,CDT,3,F,Y,Dallas-Fort Worth,TX,OZONE,,Unhealthy for Sensitive Groups,Texas Commission on Environmental Quality,
06/07/23,,EDT,-1,Y,Y,Dalton,GA,OZONE,93,Moderate,Georgia Department of Natural Resources,
06/08/23,17:00,EDT,0,O,Y,Dalton,GA,OZONE,58,Moderate,Georgia Department of Natural Resources,
06/07/23,,EDT,-1,Y,Y,Danbury,CT,PM2.5,190,Unhealthy,Connecticut Dept. of Energy and Environmental Protection,
06/08/23,17:00,EDT,0,O,Y,Danbury,CT,PM2.5,144,Unhealthy for Sensitive Groups,Connecticut Dept. of Energy and Environmental Protection,
06/08/23,,EDT,0,F,Y,Danbury,CT,PM2.5,168,Unhealthy,Connecticut Dept. of Energy and Environmental Protection,
06/09/23,,EDT,1,F,Y,Danbury,CT,PM2.5,109,Unhealthy for Sensitive Groups,Connecticut Dept. of Energy and Environmental Protection,
06/07/23,,CDT,-1,Y,Y,"Dane, Columbia, and Sauk Counties",WI,PM2.5,48,Good,Wisconsin Dept. of Natural Resources,
06/08/23,16:00,CDT,0,O,Y,"Dane, Columbia, and Sauk Counties",WI,PM2.5,53,Moderate,Wisconsin Dept. of Natural Resources,
06/08/23,,CDT,1,F,Y,"Dane, Columbia, and Sauk Counties",WI,OZONE,,Moderate,Wisconsin Dept. of Natural Resources,
06/09/23,,CDT,2,F,Y,"Dane, Columbia, and Sauk Counties",WI,OZONE,,Moderate,Wisconsin Dept. of Natural Resources,
06/10/23,,CDT,3,F,Y,"Dane, Columbia, and Sauk Counties",WI,OZONE,,Moderate,Wisconsin Dept. of Natural Resources,
06/11/23,,CDT,4,F,Y,"Dane, Columbia, and Sauk Counties",WI,OZONE,,Good,Wisconsin Dept. of Natural Resources,
06/07/23,,MDT,-1,Y,Y,Daniel South,WY,OZONE,47,Good,Wyoming Department of Environmental Quality,
06/08/23,15:00,MDT,0,O,Y,Daniel South,WY,OZONE,42,Good,Wyoming Department of Environmental Quality,
06/08/23,,EDT,0,F,Y,Dare County,NC,PM2.5,150,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Dare County,NC,PM2.5,90,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Dare County,NC,PM2.5,100,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Dare County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/07/23,,PDT,-1,Y,Y,Darrington,WA,PM2.5,12,Good,Puget Sound Clean Air Agency,
06/08/23,14:00,PDT,0,O,Y,Darrington,WA,PM2.5,25,Good,Puget Sound Clean Air Agency,
06/08/23,,PDT,0,F,Y,Darrington,WA,PM2.5,25,Good,Puget Sound Clean Air Agency,
06/09/23,,PDT,1,F,Y,Darrington,WA,PM2.5,25,Good,Puget Sound Clean Air Agency,
06/10/23,,PDT,2,F,Y,Darrington,WA,PM2.5,25,Good,Puget Sound Clean Air Agency,
06/11/23,,PDT,3,F,Y,Darrington,WA,PM2.5,25,Good,Puget Sound Clean Air Agency,
06/12/23,,PDT,4,F,Y,Darrington,WA,PM2.5,25,Good,Puget Sound Clean Air Agency,
06/13/23,,PDT,5,F,Y,Darrington,WA,PM2.5,25,Good,Puget Sound Clean Air Agency,
06/07/23,,PDT,-1,Y,Y,Davenport,CA,OZONE,33,Good,Monterey Bay Unified APCD,
06/08/23,14:00,PDT,0,O,Y,Davenport,CA,OZONE,31,Good,Monterey Bay Unified APCD,
06/08/23,,PDT,3,F,Y,Davenport,CA,PM2.5,,Good,Monterey Bay Unified APCD,
06/09/23,,PDT,4,F,Y,Davenport,CA,PM2.5,,Good,Monterey Bay Unified APCD,
06/10/23,,PDT,5,F,Y,Davenport,CA,PM2.5,,Good,Monterey Bay Unified APCD,
06/07/23,,PDT,-1,Y,Y,Davis,CA,OZONE,38,Good,Yolo-Solano AQMD,
06/08/23,14:00,PDT,0,O,Y,Davis,CA,OZONE,41,Good,Yolo-Solano AQMD,
06/08/23,,PDT,0,F,Y,Davis,CA,OZONE,44,Good,Yolo-Solano AQMD,
06/09/23,,PDT,1,F,Y,Davis,CA,OZONE,44,Good,Yolo-Solano AQMD,
06/10/23,,PDT,2,F,Y,Davis,CA,OZONE,39,Good,Yolo-Solano AQMD,
06/11/23,,PDT,3,F,Y,Davis,CA,OZONE,38,Good,Yolo-Solano AQMD,
06/12/23,,PDT,4,F,Y,Davis,CA,OZONE,38,Good,Yolo-Solano AQMD,
06/13/23,,PDT,5,F,Y,Davis,CA,OZONE,43,Good,Yolo-Solano AQMD,
06/07/23,,EDT,-1,Y,Y,Dayton,OH,PM2.5,148,Unhealthy for Sensitive Groups,Regional Air Pollution Control Agency - Dayton,
06/08/23,17:00,EDT,0,O,Y,Dayton,OH,PM2.5,85,Moderate,Regional Air Pollution Control Agency - Dayton,
06/08/23,,EDT,0,F,Y,Dayton,OH,PM2.5,108,Unhealthy for Sensitive Groups,Regional Air Pollution Control Agency - Dayton,
06/09/23,,EDT,1,F,Y,Dayton,OH,PM2.5,103,Unhealthy for Sensitive Groups,Regional Air Pollution Control Agency - Dayton,
06/10/23,,EDT,2,F,Y,Dayton,OH,PM2.5,97,Moderate,Regional Air Pollution Control Agency - Dayton,
06/11/23,,EDT,3,F,Y,Dayton,OH,PM2.5,89,Moderate,Regional Air Pollution Control Agency - Dayton,
06/12/23,,EDT,4,F,Y,Dayton,OH,PM2.5,84,Moderate,Regional Air Pollution Control Agency - Dayton,
06/07/23,,PDT,-1,Y,Y,Dayton,WA,OZONE,58,Moderate,Washington Department of Ecology,
06/08/23,14:00,PDT,0,O,Y,Dayton,WA,OZONE,38,Good,Washington Department of Ecology,
06/08/23,,PDT,0,F,Y,Dayton,WA,PM2.5,,Good,Washington Department of Ecology,
06/09/23,,PDT,1,F,Y,Dayton,WA,PM2.5,,Good,Washington Department of Ecology,
06/10/23,,PDT,2,F,Y,Dayton,WA,PM2.5,,Good,Washington Department of Ecology,
06/11/23,,PDT,3,F,Y,Dayton,WA,PM2.5,,Good,Washington Department of Ecology,
06/12/23,,PDT,4,F,Y,Dayton,WA,PM2.5,,Good,Washington Department of Ecology,
06/07/23,,EDT,-1,Y,Y,Daytona Beach,FL,OZONE,44,Good,Florida Dept. of Environmental Protection,
06/08/23,17:00,EDT,0,O,Y,Daytona Beach,FL,OZONE,35,Good,Florida Dept. of Environmental Protection,
06/08/23,,EDT,0,F,Y,Daytona Beach,FL,OZONE,,Moderate,Florida Dept. of Environmental Protection,
06/09/23,,EDT,1,F,Y,Daytona Beach,FL,OZONE,,Good,Florida Dept. of Environmental Protection,
06/10/23,,EDT,2,F,Y,Daytona Beach,FL,OZONE,,Good,Florida Dept. of Environmental Protection,
06/11/23,,EDT,3,F,Y,Daytona Beach,FL,OZONE,,Good,Florida Dept. of Environmental Protection,
06/07/23,,PDT,-1,Y,Y,Death Valley,CA,OZONE,80,Moderate,Great Basin Unified Air Pollution Control District,
06/08/23,14:00,PDT,0,O,Y,Death Valley,CA,OZONE,71,Moderate,Great Basin Unified Air Pollution Control District,
06/07/23,,PDT,-1,Y,Y,Death Valley National Park,CA,OZONE,80,Moderate,National Park Service,
06/08/23,14:00,PDT,0,O,Y,Death Valley National Park,CA,OZONE,71,Moderate,National Park Service,
06/08/23,,PDT,0,F,Y,Death Valley National Park,CA,OZONE,41,Good,National Park Service,
06/09/23,,PDT,1,F,Y,Death Valley National Park,CA,OZONE,43,Good,National Park Service,
06/07/23,,CDT,-1,Y,Y,Decatur,AL,OZONE,140,Unhealthy for Sensitive Groups,Alabama Department of Environmental Management,
06/08/23,16:00,CDT,0,O,Y,Decatur,AL,OZONE,97,Moderate,Alabama Department of Environmental Management,
06/07/23,,CDT,-1,Y,Y,Decatur,IL,OZONE,84,Moderate,Illinois EPA,
06/08/23,16:00,CDT,0,O,Y,Decatur,IL,PM2.5,66,Moderate,Illinois EPA,
06/08/23,,CDT,0,F,Y,Decatur,IL,PM2.5,,Moderate,Illinois EPA,
06/09/23,,CDT,1,F,Y,Decatur,IL,PM2.5,,Moderate,Illinois EPA,
06/10/23,,CDT,2,F,Y,Decatur,IL,PM2.5,,Moderate,Illinois EPA,
06/11/23,,CDT,3,F,Y,Decatur,IL,PM2.5,,Moderate,Illinois EPA,
06/07/23,,EDT,-1,Y,Y,Delaware Water Gap,NJ,PM2.5,185,Unhealthy,New Jersey Dept. of Environmental Protection,
06/08/23,17:00,EDT,0,O,Y,Delaware Water Gap,NJ,PM2.5,120,Unhealthy for Sensitive Groups,New Jersey Dept. of Environmental Protection,
06/08/23,,EDT,0,F,Y,Delaware Water Gap,NJ,PM2.5,155,Unhealthy,New Jersey Dept. of Environmental Protection,
06/09/23,,EDT,1,F,Y,Delaware Water Gap,NJ,PM2.5,110,Unhealthy for Sensitive Groups,New Jersey Dept. of Environmental Protection,
06/07/23,,MDT,-1,Y,Y,Deming,NM,PM10,14,Good,New Mexico Air Quality Bureau,
06/08/23,15:00,MDT,0,O,Y,Deming,NM,PM10,12,Good,New Mexico Air Quality Bureau,
06/07/23,,MDT,-1,Y,Y,Denver-Boulder,CO,OZONE,93,Moderate,Colorado Department of Public Health and Environment,
06/08/23,15:00,MDT,0,O,Y,Denver-Boulder,CO,OZONE,80,Moderate,Colorado Department of Public Health and Environment,
06/08/23,,MDT,0,F,Y,Denver-Boulder,CO,OZONE,,Moderate,Colorado Department of Public Health and Environment,
06/09/23,,MDT,1,F,Y,Denver-Boulder,CO,OZONE,,Moderate,Colorado Department of Public Health and Environment,
06/07/23,,CDT,-1,Y,Y,Des Moines,IA,PM2.5,68,Moderate,Polk Co. Air Quality Division,
06/08/23,16:00,CDT,0,O,Y,Des Moines,IA,PM2.5,53,Moderate,Polk Co. Air Quality Division,
06/08/23,,CDT,0,F,Y,Des Moines,IA,PM2.5,,Moderate,Polk Co. Air Quality Division,
06/09/23,,CDT,1,F,Y,Des Moines,IA,PM2.5,,Moderate,Polk Co. Air Quality Division,
06/10/23,,CDT,2,F,Y,Des Moines,IA,PM2.5,,Moderate,Polk Co. Air Quality Division,
06/07/23,,EDT,-1,Y,Y,Detroit,MI,PM2.5,157,Unhealthy,"Michigan Department of Environment, Great Lakes, and Energy",
06/08/23,17:00,EDT,0,O,Y,Detroit,MI,PM2.5,106,Unhealthy for Sensitive Groups,"Michigan Department of Environment, Great Lakes, and Energy",
06/08/23,,EDT,0,F,Y,Detroit,MI,PM2.5,,Unhealthy for Sensitive Groups,"Michigan Department of Environment, Great Lakes, and Energy",
06/09/23,,EDT,1,F,Y,Detroit,MI,PM2.5,,Unhealthy for Sensitive Groups,"Michigan Department of Environment, Great Lakes, and Energy",
06/08/23,,BST,-1,Y,Y,Dhaka,,PM2.5,167,Unhealthy,U.S. Department of State Bangladesh - Dhaka,
06/09/23,3:00,BST,0,O,Y,Dhaka,,PM2.5,160,Unhealthy,U.S. Department of State Bangladesh - Dhaka,
06/07/23,,MDT,-1,Y,Y,Dinosaur National Monument,UT,OZONE,48,Good,National Park Service,
06/08/23,15:00,MDT,0,O,Y,Dinosaur National Monument,UT,OZONE,47,Good,National Park Service,
06/07/23,,CDT,-1,Y,Y,Dodge and Fond du Lac Counties,WI,OZONE,39,Good,Wisconsin Dept. of Natural Resources,
06/08/23,16:00,CDT,0,O,Y,Dodge and Fond du Lac Counties,WI,OZONE,42,Good,Wisconsin Dept. of Natural Resources,
06/08/23,,CDT,1,F,Y,Dodge and Fond du Lac Counties,WI,PM2.5,,Moderate,Wisconsin Dept. of Natural Resources,
06/09/23,,CDT,2,F,Y,Dodge and Fond du Lac Counties,WI,PM2.5,,Moderate,Wisconsin Dept. of Natural Resources,
06/10/23,,CDT,3,F,Y,Dodge and Fond du Lac Counties,WI,PM2.5,,Moderate,Wisconsin Dept. of Natural Resources,
06/11/23,,CDT,4,F,Y,Dodge and Fond du Lac Counties,WI,PM2.5,,Good,Wisconsin Dept. of Natural Resources,
06/08/23,,AST,-1,Y,Y,Doha,,PM2.5,115,Unhealthy for Sensitive Groups,U.S. Department of State Qatar - Doha,
06/09/23,0:00,AST,0,O,Y,Doha,,PM2.5,123,Unhealthy for Sensitive Groups,U.S. Department of State Qatar - Doha,
06/07/23,,MDT,-1,Y,Y,Dona Ana County,NM,OZONE,64,Moderate,New Mexico Air Quality Bureau,
06/08/23,15:00,MDT,0,O,Y,Dona Ana County,NM,OZONE,61,Moderate,New Mexico Air Quality Bureau,
06/08/23,,MDT,0,F,Y,Dona Ana County,NM,OZONE,46,Good,New Mexico Air Quality Bureau,
06/09/23,,MDT,1,F,Y,Dona Ana County,NM,OZONE,44,Good,New Mexico Air Quality Bureau,
06/08/23,,CDT,1,F,Y,Door County,WI,OZONE,,Good,Wisconsin Dept. of Natural Resources,
06/09/23,,CDT,2,F,Y,Door County,WI,OZONE,,Moderate,Wisconsin Dept. of Natural Resources,
06/10/23,,CDT,3,F,Y,Door County,WI,OZONE,,Good,Wisconsin Dept. of Natural Resources,
06/11/23,,CDT,4,F,Y,Door County,WI,OZONE,,Good,Wisconsin Dept. of Natural Resources,
06/07/23,,MST,-1,Y,Y,Douglas,AZ,PM10,27,Good,Arizona Department of Environmental Quality,
06/08/23,14:00,MST,0,O,Y,Douglas,AZ,PM10,25,Good,Arizona Department of Environmental Quality,
06/08/23,,MST,0,F,Y,Douglas,AZ,PM10,27,Good,Arizona Department of Environmental Quality,
06/09/23,,MST,1,F,Y,Douglas,AZ,PM10,30,Good,Arizona Department of Environmental Quality,
06/10/23,,MST,2,F,Y,Douglas,AZ,PM10,33,Good,Arizona Department of Environmental Quality,
06/11/23,,MST,3,F,Y,Douglas,AZ,PM10,36,Good,Arizona Department of Environmental Quality,
06/12/23,,MST,4,F,Y,Douglas,AZ,PM10,37,Good,Arizona Department of Environmental Quality,
06/07/23,,MDT,-1,Y,Y,Douglas,WY,OZONE,61,Moderate,Wyoming Department of Environmental Quality,
06/08/23,15:00,MDT,0,O,Y,Douglas,WY,OZONE,67,Moderate,Wyoming Department of Environmental Quality,
06/08/23,,EDT,0,F,Y,Downeast Coast,ME,PM2.5,,Moderate,Maine Dept. of Environmental Protection,
06/09/23,,EDT,1,F,Y,Downeast Coast,ME,OZONE,,Good,Maine Dept. of Environmental Protection,
06/10/23,,EDT,2,F,Y,Downeast Coast,ME,OZONE,,Good,Maine Dept. of Environmental Protection,
06/11/23,,EDT,3,F,Y,Downeast Coast,ME,OZONE,,Good,Maine Dept. of Environmental Protection,
06/12/23,,EDT,4,F,Y,Downeast Coast,ME,OZONE,,Good,Maine Dept. of Environmental Protection,
06/13/23,,EDT,5,F,Y,Downeast Coast,ME,OZONE,,Good,Maine Dept. of Environmental Protection,
06/08/23,,GST,-1,Y,Y,Dubai,,PM2.5,152,Unhealthy,U.S. Department of State UAE - Dubai,
06/09/23,1:00,GST,0,O,Y,Dubai,,PM2.5,129,Unhealthy for Sensitive Groups,U.S. Department of State UAE - Dubai,
06/07/23,,CDT,-1,Y,Y,Duluth Area,MN,OZONE,35,Good,Minnesota Pollution Control Agency,
06/08/23,16:00,CDT,0,O,Y,Duluth Area,MN,OZONE,41,Good,Minnesota Pollution Control Agency,
06/08/23,,CDT,1,F,Y,Duluth Area,MN,PM2.5,55,Moderate,Minnesota Pollution Control Agency,
06/09/23,,CDT,2,F,Y,Duluth Area,MN,PM2.5,,Moderate,Minnesota Pollution Control Agency,
06/10/23,,CDT,3,F,Y,Duluth Area,MN,PM2.5,,Moderate,Minnesota Pollution Control Agency,
06/08/23,,EDT,0,F,Y,Duplin County,NC,PM2.5,130,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Duplin County,NC,OZONE,90,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Duplin County,NC,PM2.5,100,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Duplin County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/07/23,,EDT,-1,Y,Y,Durham County,NC,PM2.5,75,Moderate,North Carolina DEQ - Division of Air Quality,
06/08/23,17:00,EDT,0,O,Y,Durham County,NC,PM2.5,81,Moderate,North Carolina DEQ - Division of Air Quality,
06/08/23,,EDT,0,F,Y,Durham County,NC,PM2.5,115,Unhealthy for Sensitive Groups,North Carolina DEQ - Division of Air Quality,
06/09/23,,EDT,1,F,Y,Durham County,NC,PM2.5,100,Moderate,North Carolina DEQ - Division of Air Quality,
06/10/23,,EDT,2,F,Y,Durham County,NC,PM2.5,100,Moderate,North Carolina DEQ - Division of Air Quality,
06/11/23,,EDT,3,F,Y,Durham County,NC,OZONE,50,Good,North Carolina DEQ - Division of Air Quality,
06/08/23,,TJT,-1,Y,Y,Dushanbe,,PM2.5,105,Unhealthy for Sensitive Groups,U.S. Department of State Tajikistan - Dushanbe,
06/09/23,2:00,TJT,0,O,Y,Dushanbe,,PM2.5,89,Moderate,U.S. Department of State Tajikistan - Dushanbe,
06/07/23,,CDT,-1,Y,Y,Dyersburg,TN,PM2.5,66,Moderate,Tennessee Air Pollution Control Div.,
06/08/23,16:00,CDT,0,O,Y,Dyersburg,TN,PM2.5,63,Moderate,Tennessee Air Pollution Control Div.,
06/07/23,,PDT,-1,Y,Y,E San Bernardino,CA,OZONE,48,Good,South Coast AQMD,
06/08/23,14:00,PDT,0,O,Y,E San Bernardino,CA,OZONE,47,Good,South Coast AQMD,
06/08/23,,PDT,1,F,Y,E San Bernardino,CA,OZONE,64,Moderate,South Coast AQMD,
06/09/23,,PDT,1,F,Y,E San Bernardino,CA,OZONE,64,Moderate,South Coast AQMD,
06/07/23,,PDT,-1,Y,Y,E San Fernando Vly,CA,OZONE,38,Good,South Coast AQMD,
06/08/23,14:00,PDT,0,O,Y,E San Fernando Vly,CA,OZONE,40,Good,South Coast AQMD,
06/08/23,,PDT,1,F,Y,E San Fernando Vly,CA,OZONE,46,Good,South Coast AQMD,
